Timestamp,Value,sin_1,sin_2,sin_3,sin_4,sin_5,cos_1,cos_2,cos_3,cos_4,cos_5
1,30159.96371,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,29793.53672,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,31682.41216,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,29881.82919,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,30560.32894,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,31602.8694,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,32359.32106,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,36684.061,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,50421.36104,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,56556.49423,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,63806.55179,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,58992.09358,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,61857.48899,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,68157.01056,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,66176.13065,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,55268.43178,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,51193.9864,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,55054.46175,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,48378.17264,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,26293.92036,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,23917.44779,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,23917.18265,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,23681.47093,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,36229.0764,0,0,0,0,0,1,1,1,1,1
1,40027.50841,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,37264.45802,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,37288.85113,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,36499.52179,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,35658.75481,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,40847.59428,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,46806.67282,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,46132.1502,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,46149.11932,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,54781.89522,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,58293.17785,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,71604.12869,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,60012.62721,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
