"","index","Timestamp","T_72","T_48","T_24","T_3","T_2","T_1","T_0","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Closed","OutsideTemperature","Output","ID"
"NA",1,2013-01-04 14:00:00,61857.4889938598,60012.6272138295,62967.3756583045,53657.4257183502,62196.3411575388,64139.8359617385,64870.5687967146,0,0,0,0,0,1,0,0,21,62748.3679218422,73
"2",2,2013-01-04 15:00:00,68157.0105563402,54324.5243441847,64762.6557837119,62196.3411575388,64139.8359617385,64870.5687967146,62748.3679218422,0,0,0,0,0,1,0,0,20,54300.3963732185,74
"3",3,2013-01-04 16:00:00,66176.1306542697,68411.0171078304,64380.8505288623,64139.8359617385,64870.5687967146,62748.3679218422,54300.3963732185,0,0,0,0,0,1,0,0,19.9,24496.7842366735,75
"4",4,2013-01-04 17:00:00,55268.4317797851,60568.3659736662,42925.5163466192,64870.5687967146,62748.3679218422,54300.3963732185,24496.7842366735,0,0,0,0,0,1,0,0,19,23225.6909090701,76
"5",5,2013-01-04 18:00:00,51193.986396956,47143.403842555,37787.5842435111,62748.3679218422,54300.3963732185,24496.7842366735,23225.6909090701,0,0,0,0,0,1,0,0,19,21109.8534551118,77
"6",6,2013-01-04 19:00:00,55054.4617515464,44876.7002844236,37132.6821744288,54300.3963732185,24496.7842366735,23225.6909090701,21109.8534551118,0,0,0,0,0,1,0,0,18.2,20014.549630262,78
"7",7,2013-01-04 20:00:00,48378.1726424402,36507.4760696126,33971.1225502436,24496.7842366735,23225.6909090701,21109.8534551118,20014.549630262,0,0,0,0,0,1,0,0,18,20713.7305032054,79
"8",8,2013-01-04 21:00:00,26293.9203598476,23570.6413511251,19343.7390088943,23225.6909090701,21109.8534551118,20014.549630262,20713.7305032054,0,0,0,0,0,1,0,0,17,21231.8190226332,80
"9",9,2013-01-04 22:00:00,23917.4477909469,23676.6983663611,21022.3564175421,21109.8534551118,20014.549630262,20713.7305032054,21231.8190226332,0,0,0,0,0,1,0,0,16.1,21923.8410470481,81
"10",10,2013-01-04 23:00:00,23917.1826484088,22430.5284373381,20477.7536443052,20014.549630262,20713.7305032054,21231.8190226332,21923.8410470481,0,0,0,0,0,1,0,0,16,34572.2006840937,82
"11",11,2013-01-05 00:00:00,23681.4709320468,23121.4898916007,31395.7930777754,20713.7305032054,21231.8190226332,21923.8410470481,34572.2006840937,0,0,0,0,0,0,1,1,16,35000.405883109,83
"12",12,2013-01-05 01:00:00,36229.0764046181,31377.2331001091,31427.3450398081,21231.8190226332,21923.8410470481,34572.2006840937,35000.405883109,0,0,0,0,0,0,1,1,15.1,32023.1203228964,84
"13",13,2013-01-05 02:00:00,40027.5084052955,32839.2290551374,31976.9855212687,21923.8410470481,34572.2006840937,35000.405883109,32023.1203228964,0,0,0,0,0,0,1,1,14,31960.8118264452,85
"14",14,2013-01-05 03:00:00,37264.4580158596,29363.2103807775,33165.6195195262,34572.2006840937,35000.405883109,32023.1203228964,31960.8118264452,0,0,0,0,0,0,1,1,15,32127.8516254419,86
"15",15,2013-01-05 04:00:00,37288.8511293638,28108.8210330736,33640.4898052454,35000.405883109,32023.1203228964,31960.8118264452,32127.8516254419,0,0,0,0,0,0,1,1,14.8,30218.2950661177,87
"16",16,2013-01-05 05:00:00,36499.5217934699,27132.3010652882,33387.0135388314,32023.1203228964,31960.8118264452,32127.8516254419,30218.2950661177,0,0,0,0,0,0,1,1,14,27480.9635028765,88
"17",17,2013-01-05 06:00:00,35658.7548051865,26828.447716637,36160.1393447147,31960.8118264452,32127.8516254419,30218.2950661177,27480.9635028765,0,0,0,0,0,0,1,1,14,29015.6085133415,89
"18",18,2013-01-05 07:00:00,40847.5942756079,28662.1735100675,40994.7483842478,32127.8516254419,30218.2950661177,27480.9635028765,29015.6085133415,0,0,0,0,0,0,1,1,13.95,29345.4458307254,90
"19",19,2013-01-05 08:00:00,46806.6728191807,34322.1712706748,44201.1170973702,30218.2950661177,27480.9635028765,29015.6085133415,29345.4458307254,0,0,0,0,0,0,1,1,16,29996.6359042745,91
"20",20,2013-01-05 09:00:00,46132.1502022797,40613.7385570125,45534.5189214249,27480.9635028765,29015.6085133415,29345.4458307254,29996.6359042745,0,0,0,0,0,0,1,1,18,32700.0292226402,92
"21",21,2013-01-05 10:00:00,46149.1193247175,43723.3302437321,49726.4224486278,29015.6085133415,29345.4458307254,29996.6359042745,32700.0292226402,0,0,0,0,0,0,1,1,19.25,36429.7893059522,93
"22",22,2013-01-05 11:00:00,54781.8952223899,56342.7893441258,53657.4257183502,29345.4458307254,29996.6359042745,32700.0292226402,36429.7893059522,0,0,0,0,0,0,1,1,21,40396.0565332406,94
"23",23,2013-01-05 12:00:00,58293.1778543158,57070.8707537209,62196.3411575388,29996.6359042745,32700.0292226402,36429.7893059522,40396.0565332406,0,0,0,0,0,0,1,1,23,41977.1014878713,95
"24",24,2013-01-05 13:00:00,71604.1286940483,60591.43337448,64139.8359617385,32700.0292226402,36429.7893059522,40396.0565332406,41977.1014878713,0,0,0,0,0,0,1,1,23,43274.4439267457,96
"25",25,2013-01-05 14:00:00,60012.6272138295,62967.3756583045,64870.5687967146,36429.7893059522,40396.0565332406,41977.1014878713,43274.4439267457,0,0,0,0,0,0,1,1,22,45129.9114082995,97
"26",26,2013-01-05 15:00:00,54324.5243441847,64762.6557837119,62748.3679218422,40396.0565332406,41977.1014878713,43274.4439267457,45129.9114082995,0,0,0,0,0,0,1,1,23,44359.1420500719,98
"27",27,2013-01-05 16:00:00,68411.0171078304,64380.8505288623,54300.3963732185,41977.1014878713,43274.4439267457,45129.9114082995,44359.1420500719,0,0,0,0,0,0,1,1,22.7,43910.2557330855,99
"28",28,2013-01-05 17:00:00,60568.3659736662,42925.5163466192,24496.7842366735,43274.4439267457,45129.9114082995,44359.1420500719,43910.2557330855,0,0,0,0,0,0,1,1,22,43051.1939096739,100
"29",29,2013-01-05 18:00:00,47143.403842555,37787.5842435111,23225.6909090701,45129.9114082995,44359.1420500719,43910.2557330855,43051.1939096739,0,0,0,0,0,0,1,1,22,41172.12874223,101
"30",30,2013-01-05 19:00:00,44876.7002844236,37132.6821744288,21109.8534551118,44359.1420500719,43910.2557330855,43051.1939096739,41172.12874223,0,0,0,0,0,0,1,1,21.1,37615.5067362907,102
"31",31,2013-01-05 20:00:00,36507.4760696126,33971.1225502436,20014.549630262,43910.2557330855,43051.1939096739,41172.12874223,37615.5067362907,0,0,0,0,0,0,1,1,21,38688.2734454029,103
"32",32,2013-01-05 21:00:00,23570.6413511251,19343.7390088943,20713.7305032054,43051.1939096739,41172.12874223,37615.5067362907,38688.2734454029,0,0,0,0,0,0,1,1,19,39205.8316797546,104
"33",33,2013-01-05 22:00:00,23676.6983663611,21022.3564175421,21231.8190226332,41172.12874223,37615.5067362907,38688.2734454029,39205.8316797546,0,0,0,0,0,0,1,1,17.95,37846.9761720433,105
"34",34,2013-01-05 23:00:00,22430.5284373381,20477.7536443052,21923.8410470481,37615.5067362907,38688.2734454029,39205.8316797546,37846.9761720433,0,0,0,0,0,0,1,1,17,37751.5248583309,106
"35",35,2013-01-06 00:00:00,23121.4898916007,31395.7930777754,34572.2006840937,38688.2734454029,39205.8316797546,37846.9761720433,37751.5248583309,1,0,0,0,0,0,0,1,17,36526.5663323551,107
"36",36,2013-01-06 01:00:00,31377.2331001091,31427.3450398081,35000.405883109,39205.8316797546,37846.9761720433,37751.5248583309,36526.5663323551,1,0,0,0,0,0,0,1,16.85,35787.8792212363,108
"37",37,2013-01-06 02:00:00,32839.2290551374,31976.9855212687,32023.1203228964,37846.9761720433,37751.5248583309,36526.5663323551,35787.8792212363,1,0,0,0,0,0,0,1,16,34183.2365807156,109
"38",38,2013-01-06 03:00:00,29363.2103807775,33165.6195195262,31960.8118264452,37751.5248583309,36526.5663323551,35787.8792212363,34183.2365807156,1,0,0,0,0,0,0,1,15,32910.5523978836,110
"39",39,2013-01-06 04:00:00,28108.8210330736,33640.4898052454,32127.8516254419,36526.5663323551,35787.8792212363,34183.2365807156,32910.5523978836,1,0,0,0,0,0,0,1,15.85,31845.7399649142,111
"40",40,2013-01-06 05:00:00,27132.3010652882,33387.0135388314,30218.2950661177,35787.8792212363,34183.2365807156,32910.5523978836,31845.7399649142,1,0,0,0,0,0,0,1,16,30121.5180397149,112
"41",41,2013-01-06 06:00:00,26828.447716637,36160.1393447147,27480.9635028765,34183.2365807156,32910.5523978836,31845.7399649142,30121.5180397149,1,0,0,0,0,0,0,1,15,31343.5599977717,113
